,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
1091,1091.0,2021-08-21 08:30:20.993163+00:00,x,y,2021-09-02 10:00:00+00:00,2021-09-02 12:00:00+00:00,gamma,True,20,2,c-2,1091,11420
2131,2131.0,2021-06-13 02:35:24.449074+00:00,x,y,2021-07-02 17:00:00+00:00,2021-07-02 18:59:00+00:00,gamma,True,20,1,c-6,2131,8697
177,177.0,2021-02-04 10:54:28.745381+00:00,x,y,2021-02-11 14:00:00+00:00,2021-02-11 15:55:00+00:00,beta,True,35,0,b-9,177,10227
487,487.0,2021-08-11 10:42:28.235265+00:00,x,y,2021-08-19 14:00:00+00:00,2021-08-19 16:00:00+00:00,gamma,True,20,1,c-4,487,8697
2496,2496.0,2021-02-04 19:08:45.212309+00:00,x,y,2021-02-18 05:15:00+00:00,2021-02-18 07:25:00+00:00,alpha,True,0,0,a-1,2496,10227
2000,2000.0,2021-06-23 17:30:09.070521+00:00,x,y,2021-07-02 09:45:00+00:00,2021-07-02 11:45:00+00:00,gamma,True,20,1,c-2,2000,8650
4360,4360.0,2021-08-29 11:49:10.983873+00:00,x,y,2021-09-03 11:00:00+00:00,2021-09-03 13:00:00+00:00,gamma,True,20,1,c-4,4360,10227
120,120.0,2021-03-06 10:08:04.412330+00:00,x,y,2021-03-26 13:30:00+00:00,2021-03-26 15:30:00+00:00,alpha,True,35,1,a-5,120,9900
507,507.0,2021-04-09 17:46:26.224489+00:00,x,y,2021-06-12 05:00:00+00:00,2021-06-12 07:00:00+00:00,alpha,True,35,1,a-1,507,8395
1907,1907.0,2021-07-12 14:17:11.903604+00:00,x,y,2021-07-17 07:00:00+00:00,2021-07-17 09:00:00+00:00,alpha,True,15,1,a-5,1907,8697
4751,4751.0,2021-05-19 14:20:49.921048+00:00,x,y,2021-05-27 13:00:00+00:00,2021-05-27 15:00:00+00:00,alpha,True,35,1,a-5,4751,32545
3830,3830.0,2021-07-05 14:17:15.213714+00:00,x,y,2021-07-07 14:00:00+00:00,2021-07-07 16:00:00+00:00,gamma,True,20,1,c-4,3830,10227
2549,2549.0,2021-05-28 17:35:18.945634+00:00,x,y,2021-06-01 14:00:00+00:00,2021-06-01 15:55:00+00:00,beta,True,20,0,b-9,2549,9900
1818,1818.0,2021-08-06 11:42:12.431478+00:00,x,y,2021-08-23 17:05:00+00:00,2021-08-23 19:05:00+00:00,omega,True,20,1,d-5,1818,9877
2195,2195.0,2021-07-12 14:40:35.307012+00:00,x,y,2021-07-18 14:00:00+00:00,2021-07-18 15:55:00+00:00,beta,True,40,0,b-9,2195,10400
3453,3453.0,2021-08-18 20:11:05.232243+00:00,x,y,2021-08-28 04:00:00+00:00,2021-08-28 06:00:00+00:00,alpha,True,15,1,a-1,3453,9405
3639,3639.0,2021-07-25 09:25:18.634465+00:00,x,y,2021-07-26 17:00:00+00:00,2021-07-26 18:59:00+00:00,gamma,True,20,1,c-6,3639,7400
352,352.0,2021-07-12 03:47:55.076637+00:00,x,y,2021-07-25 13:00:00+00:00,2021-07-25 15:00:00+00:00,alpha,True,15,1,a-9,352,8650
4469,4469.0,2021-08-26 08:51:35.170193+00:00,x,y,2021-09-01 10:00:00+00:00,2021-09-01 12:00:00+00:00,alpha,True,15,1,a-7,4469,8697
2044,2044.0,2021-05-16 07:08:16.634520+00:00,x,y,2021-05-17 17:00:00+00:00,2021-05-17 18:59:00+00:00,gamma,True,20,1,c-6,2044,8697
2929,2929.0,2021-04-28 14:29:31.583928+00:00,x,y,2021-05-01 17:00:00+00:00,2021-05-01 18:59:00+00:00,gamma,True,20,2,c-6,2929,10227
3131,3131.0,2021-08-05 08:16:07.546121+00:00,x,y,2021-08-15 16:00:00+00:00,2021-08-15 18:00:00+00:00,alpha,True,15,1,a-23,3131,8697
3930,3930.0,2021-08-27 17:04:18.716350+00:00,x,y,2021-09-12 11:00:00+00:00,2021-09-12 12:55:00+00:00,beta,True,40,0,b-69,3930,8650
4235,4235.0,2021-07-03 13:39:32.755153+00:00,x,y,2021-07-24 04:00:00+00:00,2021-07-24 06:00:00+00:00,alpha,True,15,1,a-1,4235,8697
1024,1024.0,2021-08-12 06:01:57.004495+00:00,x,y,2021-08-13 13:15:00+00:00,2021-08-13 15:15:00+00:00,alpha,True,20,1,a-9,1024,8697
393,393.0,2021-08-06 00:51:04.640620+00:00,x,y,2021-08-07 04:00:00+00:00,2021-08-07 06:00:00+00:00,alpha,True,15,1,a-1,393,8697
4010,4010.0,2021-05-21 09:25:34.935357+00:00,x,y,2021-05-23 11:00:00+00:00,2021-05-23 13:00:00+00:00,gamma,True,20,1,c-4,4010,8697
485,485.0,2021-08-29 16:59:12.294232+00:00,x,y,2021-09-27 17:00:00+00:00,2021-09-27 18:59:00+00:00,gamma,True,20,1,c-6,485,8739
1844,1844.0,2021-04-30 05:58:08.180307+00:00,x,y,2021-04-30 14:00:00+00:00,2021-04-30 15:55:00+00:00,beta,True,20,0,b-9,1844,8650
3533,3533.0,2021-08-19 23:56:23.519843+00:00,x,y,2021-08-21 14:00:00+00:00,2021-08-21 16:00:00+00:00,gamma,True,20,1,c-4,3533,8697
3632,3632.0,2021-08-30 10:34:18.279807+00:00,x,y,2021-12-29 13:00:00+00:00,2021-12-29 15:00:00+00:00,alpha,True,15,1,a-9,3632,10227
2594,2594.0,2021-05-31 16:17:44.993508+00:00,x,y,2021-06-14 11:00:00+00:00,2021-06-14 13:00:00+00:00,gamma,True,20,1,c-4,2594,8697
2900,2900.0,2021-07-27 19:09:21.703763+00:00,x,y,2021-08-13 05:00:00+00:00,2021-08-13 06:55:00+00:00,beta,True,20,0,b-1,2900,10227
2904,2904.0,2021-02-01 11:17:15.116893+00:00,x,y,2021-03-31 05:00:00+00:00,2021-03-31 07:00:00+00:00,alpha,True,20,1,a-1,2904,8697
4177,4177.0,2021-05-31 19:54:28.957744+00:00,x,y,2021-06-11 10:00:00+00:00,2021-06-11 12:00:00+00:00,alpha,True,15,1,a-7,4177,8697
69,69.0,2021-05-19 22:30:35.967010+00:00,x,y,2021-06-01 10:00:00+00:00,2021-06-01 12:00:00+00:00,alpha,True,15,1,a-9,69,8739
3714,3714.0,2021-08-18 14:24:09.889868+00:00,x,y,2021-08-19 16:00:00+00:00,2021-08-19 18:00:00+00:00,alpha,True,20,1,a-23,3714,10227
1600,1600.0,2021-05-01 15:54:16.754804+00:00,x,y,2021-05-06 05:00:00+00:00,2021-05-06 07:00:00+00:00,alpha,True,15,1,a-1,1600,8650
3492,3492.0,2021-08-22 13:36:50.496584+00:00,x,y,2021-08-27 10:00:00+00:00,2021-08-27 12:00:00+00:00,alpha,True,20,1,a-5,3492,8155
4044,4044.0,2021-08-10 17:19:10.751680+00:00,x,y,2021-08-20 16:00:00+00:00,2021-08-20 18:00:00+00:00,alpha,True,15,1,a-9,4044,10227
4521,4521.0,2021-07-03 19:24:37.289626+00:00,x,y,2021-07-14 09:45:00+00:00,2021-07-14 11:45:00+00:00,gamma,True,20,1,c-2,4521,8739
2355,2355.0,2021-02-09 20:02:39.518047+00:00,x,y,2021-02-27 16:00:00+00:00,2021-02-27 18:10:00+00:00,alpha,True,20,1,a-7,2355,8739
2328,2328.0,2021-02-02 01:17:34.836486+00:00,x,y,2021-02-26 17:00:00+00:00,2021-02-26 18:59:00+00:00,gamma,True,32,1,c-6,2328,8395
3369,3369.0,2021-01-01 08:37:05.552594+00:00,x,y,2021-01-04 16:00:00+00:00,2021-01-04 18:10:00+00:00,alpha,True,20,1,a-7,3369,8650
1786,1786.0,2021-08-01 12:12:24.808443+00:00,x,y,2021-09-20 11:00:00+00:00,2021-09-20 12:55:00+00:00,beta,True,20,0,b-69,1786,10227
2042,2042.0,2021-04-24 16:24:44.430547+00:00,x,y,2021-05-12 05:00:00+00:00,2021-05-12 06:55:00+00:00,beta,True,20,0,b-1,2042,8697
90,90.0,2021-08-14 08:48:10.497473+00:00,x,y,2021-08-27 17:00:00+00:00,2021-08-27 18:59:00+00:00,gamma,True,20,1,c-6,90,8697
2940,2940.0,2021-01-28 13:16:36.750737+00:00,x,y,2021-02-13 05:15:00+00:00,2021-02-13 07:25:00+00:00,alpha,True,20,1,a-1,2940,8739
1849,1849.0,2021-07-27 13:49:11.722081+00:00,x,y,2021-07-30 10:00:00+00:00,2021-07-30 12:00:00+00:00,gamma,True,20,2,c-2,1849,10227
2372,2372.0,2021-04-22 00:55:30.579550+00:00,x,y,2021-04-27 05:00:00+00:00,2021-04-27 07:00:00+00:00,gamma,True,20,1,c-2,2372,8155
2949,2949.0,2021-08-10 12:04:25.652081+00:00,x,y,2021-08-23 16:00:00+00:00,2021-08-23 18:00:00+00:00,alpha,True,20,1,a-23,2949,8697
2220,2220.0,2021-07-03 20:07:16.106624+00:00,x,y,2021-08-15 14:00:00+00:00,2021-08-15 15:55:00+00:00,beta,True,40,0,b-9,2220,8650
3325,3325.0,2021-06-29 20:17:42.047961+00:00,x,y,2021-08-01 10:00:00+00:00,2021-08-01 12:00:00+00:00,alpha,True,35,1,a-7,3325,8739
1180,1180.0,2021-04-07 17:02:23.188828+00:00,x,y,2021-04-11 11:00:00+00:00,2021-04-11 13:00:00+00:00,gamma,True,20,1,c-4,1180,8739
1208,1208.0,2021-06-05 10:36:08.185999+00:00,x,y,2021-06-17 07:00:00+00:00,2021-06-17 09:00:00+00:00,alpha,True,15,1,a-5,1208,7400
3976,3976.0,2021-04-24 10:15:22.093314+00:00,x,y,2021-05-10 14:00:00+00:00,2021-05-10 15:55:00+00:00,beta,True,40,0,b-9,3976,8697
3600,3600.0,2021-01-04 06:28:16.409804+00:00,x,y,2021-02-28 05:15:00+00:00,2021-02-28 07:25:00+00:00,alpha,True,0,0,a-1,3600,9900
2159,2159.0,2021-06-26 20:06:28.383107+00:00,x,y,2021-07-14 17:00:00+00:00,2021-07-14 18:59:00+00:00,gamma,True,20,2,c-6,2159,13675
3900,3900.0,2021-06-19 13:04:26.437367+00:00,x,y,2021-06-26 04:00:00+00:00,2021-06-26 06:00:00+00:00,alpha,True,15,1,a-1,3900,7400
2006,2006.0,2021-07-08 08:51:43.972278+00:00,x,y,2021-08-02 13:00:00+00:00,2021-08-02 15:00:00+00:00,alpha,True,15,1,a-9,2006,8697
635,635.0,2021-04-30 07:54:33.703156+00:00,x,y,2021-05-13 11:00:00+00:00,2021-05-13 12:55:00+00:00,beta,True,20,0,b-69,635,8697
738,738.0,2021-07-02 16:32:33.803384+00:00,x,y,2021-07-12 04:00:00+00:00,2021-07-12 06:00:00+00:00,alpha,True,35,1,a-1,738,8650
2390,2390.0,2021-08-01 19:31:31.855005+00:00,x,y,2021-08-09 16:00:00+00:00,2021-08-09 18:00:00+00:00,alpha,True,15,1,a-23,2390,8697
3518,3518.0,2021-07-10 12:51:25.384563+00:00,x,y,2021-07-16 14:00:00+00:00,2021-07-16 16:00:00+00:00,gamma,True,20,2,c-4,3518,11716
4351,4351.0,2021-06-23 19:03:23.499102+00:00,x,y,2021-07-06 11:00:00+00:00,2021-07-06 12:55:00+00:00,beta,True,20,0,b-69,4351,8739
353,353.0,2021-01-01 16:08:21.101504+00:00,x,y,2021-01-12 13:00:00+00:00,2021-01-12 15:00:00+00:00,alpha,True,20,1,a-5,353,7400
1960,1960.0,2021-01-09 03:50:02.643128+00:00,x,y,2021-01-09 05:00:00+00:00,2021-01-09 06:55:00+00:00,beta,False,40,0,b-1,1960,8155
4773,4773.0,2021-06-30 18:27:12.596471+00:00,x,y,2021-07-09 16:00:00+00:00,2021-07-09 18:00:00+00:00,alpha,True,35,1,a-23,4773,8739
1200,1200.0,2021-04-02 08:25:45.672034+00:00,x,y,2021-04-30 05:00:00+00:00,2021-04-30 07:00:00+00:00,alpha,True,15,1,a-1,1200,8697
3072,3072.0,2021-06-25 22:48:27.782899+00:00,x,y,2021-06-29 16:00:00+00:00,2021-06-29 18:00:00+00:00,alpha,True,35,1,a-23,3072,10227
4680,4680.0,2021-08-15 20:19:18.997498+00:00,x,y,2021-10-10 13:00:00+00:00,2021-10-10 15:00:00+00:00,alpha,True,20,1,a-9,4680,10227
3934,3934.0,2021-02-09 16:37:11.685565+00:00,x,y,2021-02-11 05:15:00+00:00,2021-02-11 07:25:00+00:00,alpha,True,20,1,a-1,3934,8739
3800,3800.0,2021-06-22 12:21:01.989769+00:00,x,y,2021-07-02 13:00:00+00:00,2021-07-02 15:00:00+00:00,alpha,True,15,1,a-9,3800,8697
3947,3947.0,2021-02-27 10:02:30.218019+00:00,x,y,2021-03-29 05:00:00+00:00,2021-03-29 07:00:00+00:00,gamma,True,20,2,c-2,3947,10227
4948,4948.0,2021-07-13 00:10:38.310832+00:00,x,y,2021-08-07 07:00:00+00:00,2021-08-07 09:00:00+00:00,alpha,True,35,1,a-5,4948,8739
3831,3831.0,2021-04-20 14:26:53.788440+00:00,x,y,2021-04-23 11:00:00+00:00,2021-04-23 13:00:00+00:00,gamma,True,20,1,c-4,3831,10227
1079,1079.0,2021-01-26 12:39:44.640785+00:00,x,y,2021-01-29 05:00:00+00:00,2021-01-29 06:55:00+00:00,beta,True,20,0,b-1,1079,8697
4866,4866.0,2021-07-10 08:22:57.198655+00:00,x,y,2021-08-30 09:45:00+00:00,2021-08-30 11:45:00+00:00,gamma,True,20,2,c-2,4866,13097
3467,3467.0,2021-03-17 17:21:19.662730+00:00,x,y,2021-03-25 11:00:00+00:00,2021-03-25 13:00:00+00:00,gamma,True,20,2,c-4,3467,8650
4365,4365.0,2021-08-24 16:08:29.858840+00:00,x,y,2021-08-30 16:00:00+00:00,2021-08-30 18:00:00+00:00,alpha,True,15,1,a-23,4365,8739
3019,3019.0,2021-07-14 12:44:05.906157+00:00,x,y,2021-07-19 10:00:00+00:00,2021-07-19 12:00:00+00:00,gamma,True,20,2,c-2,3019,10160
2561,2561.0,2021-07-14 19:46:00.006226+00:00,x,y,2021-07-31 14:00:00+00:00,2021-07-31 16:00:00+00:00,gamma,True,20,2,c-4,2561,8739
1699,1699.0,2021-08-10 12:22:30.346764+00:00,x,y,2021-08-27 04:40:00+00:00,2021-08-27 06:40:00+00:00,omega,True,20,1,d-1,1699,8697
3666,3666.0,2021-07-11 11:21:01.867634+00:00,x,y,2021-08-17 05:00:00+00:00,2021-08-17 06:55:00+00:00,beta,True,40,0,b-1,3666,8739
3416,3416.0,2021-03-09 03:32:38.970861+00:00,x,y,2021-03-22 13:30:00+00:00,2021-03-22 15:30:00+00:00,alpha,True,15,1,a-5,3416,8697
923,923.0,2021-06-29 09:40:59.704659+00:00,x,y,2021-07-07 14:45:00+00:00,2021-07-07 16:45:00+00:00,gamma,True,20,1,c-4,923,8697
966,966.0,2021-06-04 10:29:48.032662+00:00,x,y,2021-07-10 16:00:00+00:00,2021-07-10 18:00:00+00:00,alpha,True,15,1,a-23,966,9405
4771,4771.0,2021-05-31 12:52:26.643316+00:00,x,y,2021-07-10 11:00:00+00:00,2021-07-10 13:00:00+00:00,gamma,True,20,1,c-4,4771,8739
1796,1796.0,2021-07-23 01:48:59.991964+00:00,x,y,2021-07-25 10:00:00+00:00,2021-07-25 12:00:00+00:00,gamma,True,20,1,c-2,1796,11915
156,156.0,2021-03-01 05:43:57.171705+00:00,x,y,2021-03-01 13:30:00+00:00,2021-03-01 15:40:00+00:00,alpha,True,35,1,a-5,156,13097
575,575.0,2021-08-23 09:43:46.885522+00:00,x,y,2021-08-25 04:40:00+00:00,2021-08-25 06:40:00+00:00,omega,True,20,1,d-1,575,8697
2579,2579.0,2021-01-14 08:27:07.253729+00:00,x,y,2021-01-14 16:00:00+00:00,2021-01-14 17:55:00+00:00,beta,False,40,0,b-19,2579,10227
2181,2181.0,2021-07-12 11:44:33.336859+00:00,x,y,2021-07-30 09:45:00+00:00,2021-07-30 11:45:00+00:00,gamma,True,20,2,c-2,2181,11742
1651,1651.0,2021-04-23 18:18:34.204562+00:00,x,y,2021-05-03 11:00:00+00:00,2021-05-03 13:00:00+00:00,gamma,True,20,1,c-4,1651,13097
2739,2739.0,2021-07-08 20:34:31.461891+00:00,x,y,2021-07-23 14:00:00+00:00,2021-07-23 15:55:00+00:00,beta,True,40,0,b-9,2739,11915
2542,2542.0,2021-07-27 19:36:56.297836+00:00,x,y,2021-08-20 07:00:00+00:00,2021-08-20 09:00:00+00:00,alpha,True,35,1,a-5,2542,8739
227,227.0,2021-07-24 06:33:20.075092+00:00,x,y,2021-08-03 17:00:00+00:00,2021-08-03 18:59:00+00:00,gamma,True,20,2,c-6,227,8395
285,285.0,2021-04-26 23:45:36.142609+00:00,x,y,2021-05-07 14:00:00+00:00,2021-05-07 15:55:00+00:00,beta,True,40,0,b-9,285,10227
4036,4036.0,2021-06-18 15:39:34.310989+00:00,x,y,2021-07-25 04:00:00+00:00,2021-07-25 06:00:00+00:00,alpha,True,35,1,a-1,4036,8697
2690,2690.0,2021-02-17 10:40:23.161152+00:00,x,y,2021-04-18 11:00:00+00:00,2021-04-18 13:00:00+00:00,gamma,True,20,1,c-4,2690,8739
2797,2797.0,2021-07-12 05:06:48.459110+00:00,x,y,2021-07-30 07:00:00+00:00,2021-07-30 09:00:00+00:00,alpha,True,15,1,a-5,2797,10227
3211,3211.0,2021-03-06 17:09:21.951795+00:00,x,y,2021-03-08 13:30:00+00:00,2021-03-08 15:30:00+00:00,alpha,True,35,1,a-5,3211,7400
300,300.0,2021-07-17 12:12:35.811676+00:00,x,y,2021-08-14 13:00:00+00:00,2021-08-14 15:00:00+00:00,alpha,True,35,1,a-9,300,9900
1069,1069.0,2021-07-01 12:00:33.957780+00:00,x,y,2021-07-12 14:00:00+00:00,2021-07-12 16:00:00+00:00,gamma,True,20,2,c-4,1069,8739
299,299.0,2021-01-22 17:13:17.284453+00:00,x,y,2021-01-27 13:00:00+00:00,2021-01-27 15:00:00+00:00,alpha,True,0,0,a-5,299,8650
4023,4023.0,2021-08-25 22:03:37.229836+00:00,x,y,2021-09-28 11:00:00+00:00,2021-09-28 12:55:00+00:00,beta,True,40,0,b-69,4023,15455
3100,3100.0,2021-08-29 07:16:04.464646+00:00,x,y,2021-09-02 05:30:00+00:00,2021-09-02 07:30:00+00:00,gamma,True,20,1,c-2,3100,10227
2999,2999.0,2021-08-03 13:44:38.930556+00:00,x,y,2021-08-20 14:00:00+00:00,2021-08-20 15:55:00+00:00,beta,True,40,0,b-9,2999,8739
2344,2344.0,2021-02-17 18:06:40.651893+00:00,x,y,2021-02-23 16:00:00+00:00,2021-02-23 18:10:00+00:00,alpha,True,15,1,a-7,2344,10227
4237,4237.0,2021-04-06 07:37:50.409638+00:00,x,y,2021-04-19 17:00:00+00:00,2021-04-19 18:59:00+00:00,gamma,True,20,2,c-6,4237,8697
3273,3273.0,2021-03-21 10:25:59.955163+00:00,x,y,2021-03-31 13:30:00+00:00,2021-03-31 15:30:00+00:00,alpha,True,35,1,a-5,3273,13097
2917,2917.0,2021-07-17 11:49:51.730089+00:00,x,y,2021-07-30 10:30:00+00:00,2021-07-30 12:30:00+00:00,alpha,True,15,1,a-5,2917,7400
3336,3336.0,2021-06-19 08:47:08.509348+00:00,x,y,2021-07-11 11:00:00+00:00,2021-07-11 12:55:00+00:00,beta,True,20,0,b-69,3336,8739
3853,3853.0,2021-06-20 17:44:12.813400+00:00,x,y,2021-06-26 10:00:00+00:00,2021-06-26 12:00:00+00:00,alpha,True,15,1,a-7,3853,9900
1280,1280.0,2021-06-19 04:29:20.765398+00:00,x,y,2021-07-10 07:00:00+00:00,2021-07-10 09:00:00+00:00,alpha,True,35,1,a-5,1280,9405
3840,3840.0,2021-08-05 10:17:04.945021+00:00,x,y,2021-09-22 10:00:00+00:00,2021-09-22 12:00:00+00:00,alpha,True,15,1,a-7,3840,9405
361,361.0,2021-05-08 18:13:41.999577+00:00,x,y,2021-05-12 17:00:00+00:00,2021-05-12 18:59:00+00:00,gamma,True,20,1,c-6,361,11742
327,327.0,2021-08-13 08:33:03.388787+00:00,x,y,2021-08-28 10:35:00+00:00,2021-08-28 12:35:00+00:00,omega,True,20,1,d-3,327,8739
4613,4613.0,2021-07-26 13:16:42.910002+00:00,x,y,2021-08-05 11:00:00+00:00,2021-08-05 12:55:00+00:00,beta,True,40,0,b-69,4613,8739
1398,1398.0,2021-07-26 17:35:22.387001+00:00,x,y,2021-08-06 16:00:00+00:00,2021-08-06 18:00:00+00:00,alpha,True,15,1,a-23,1398,8697
2747,2747.0,2021-04-17 07:25:37.203625+00:00,x,y,2021-04-23 05:00:00+00:00,2021-04-23 07:00:00+00:00,alpha,True,15,1,a-1,2747,8697
3883,3883.0,2021-03-10 10:26:33.761750+00:00,x,y,2021-03-11 05:00:00+00:00,2021-03-11 07:00:00+00:00,alpha,True,15,1,a-1,3883,10227
3406,3406.0,2021-06-23 18:10:59.676142+00:00,x,y,2021-07-02 16:00:00+00:00,2021-07-02 18:00:00+00:00,alpha,True,15,1,a-23,3406,10227
3057,3057.0,2021-03-02 16:29:33.964803+00:00,x,y,2021-03-08 17:00:00+00:00,2021-03-08 18:59:00+00:00,gamma,True,20,2,c-6,3057,8650
3016,3016.0,2021-07-21 15:56:12.791880+00:00,x,y,2021-08-02 10:00:00+00:00,2021-08-02 12:00:00+00:00,alpha,True,15,1,a-7,3016,9877
234,234.0,2021-07-16 08:39:19.658932+00:00,x,y,2021-07-25 05:00:00+00:00,2021-07-25 06:55:00+00:00,beta,True,40,0,b-1,234,8697
1852,1852.0,2021-08-16 08:21:37.208296+00:00,x,y,2021-08-23 13:00:00+00:00,2021-08-23 15:00:00+00:00,alpha,True,20,1,a-9,1852,10227
228,228.0,2021-06-26 15:17:56.989246+00:00,x,y,2021-06-28 09:45:00+00:00,2021-06-28 11:45:00+00:00,gamma,True,20,2,c-2,228,11716
3417,3417.0,2021-06-29 07:23:48.598375+00:00,x,y,2021-08-07 13:00:00+00:00,2021-08-07 15:00:00+00:00,alpha,True,15,1,a-9,3417,8650
2351,2351.0,2021-08-24 09:48:42.793135+00:00,x,y,2021-09-12 17:00:00+00:00,2021-09-12 18:59:00+00:00,gamma,True,20,1,c-6,2351,12425
3513,3513.0,2021-04-12 12:36:35.530983+00:00,x,y,2021-05-27 05:00:00+00:00,2021-05-27 06:55:00+00:00,beta,True,20,0,b-1,3513,8739
2353,2353.0,2021-06-26 19:45:43.224556+00:00,x,y,2021-08-01 07:00:00+00:00,2021-08-01 09:00:00+00:00,alpha,True,35,1,a-5,2353,8739
4538,4538.0,2021-04-26 04:50:25.411001+00:00,x,y,2021-05-29 11:00:00+00:00,2021-05-29 13:00:00+00:00,gamma,True,20,1,c-4,4538,8739
4300,4300.0,2021-08-12 11:59:02.509134+00:00,x,y,2021-08-22 11:00:00+00:00,2021-08-22 12:55:00+00:00,beta,True,40,0,b-69,4300,8739
1626,1626.0,2021-04-30 18:27:26.053968+00:00,x,y,2021-06-02 17:00:00+00:00,2021-06-02 18:59:00+00:00,gamma,True,20,1,c-6,1626,8650
1965,1965.0,2021-08-15 11:03:29.210523+00:00,x,y,2021-08-29 10:00:00+00:00,2021-08-29 12:00:00+00:00,gamma,True,20,2,c-2,1965,8739
3047,3047.0,2021-02-04 15:07:39.227675+00:00,x,y,2021-02-24 14:00:00+00:00,2021-02-24 15:55:00+00:00,beta,True,35,0,b-9,3047,8739
2398,2398.0,2021-08-10 21:13:52.044139+00:00,x,y,2021-08-11 17:00:00+00:00,2021-08-11 18:59:00+00:00,gamma,True,20,2,c-6,2398,10227
4761,4761.0,2021-07-06 15:34:27.076699+00:00,x,y,2021-07-08 07:00:00+00:00,2021-07-08 09:00:00+00:00,alpha,True,15,1,a-5,4761,8739
981,981.0,2021-08-21 09:12:26.714076+00:00,x,y,2021-08-31 10:00:00+00:00,2021-08-31 12:00:00+00:00,alpha,True,15,1,a-7,981,9405
1639,1639.0,2021-08-26 14:08:32.753744+00:00,x,y,2021-08-31 10:00:00+00:00,2021-08-31 12:00:00+00:00,alpha,True,20,1,a-7,1639,10227
2121,2121.0,2021-05-09 15:03:02.747843+00:00,x,y,2021-06-03 05:00:00+00:00,2021-06-03 07:00:00+00:00,alpha,True,15,1,a-1,2121,8739
1817,1817.0,2021-08-26 05:00:59.254756+00:00,x,y,2021-09-18 13:00:00+00:00,2021-09-18 15:00:00+00:00,alpha,True,15,1,a-9,1817,13097
2395,2395.0,2021-08-24 03:56:49.978504+00:00,x,y,2021-09-09 14:00:00+00:00,2021-09-09 15:55:00+00:00,beta,True,20,0,b-9,2395,7400
3523,3523.0,2021-06-29 09:03:37.082499+00:00,x,y,2021-08-01 13:00:00+00:00,2021-08-01 15:00:00+00:00,alpha,True,35,1,a-9,3523,10665
1065,1065.0,2021-06-05 12:13:51.653831+00:00,x,y,2021-06-16 17:00:00+00:00,2021-06-16 18:59:00+00:00,gamma,True,20,1,c-6,1065,9877
2685,2685.0,2021-07-08 16:13:13.546938+00:00,x,y,2021-07-13 04:00:00+00:00,2021-07-13 06:00:00+00:00,alpha,True,15,1,a-1,2685,8650
4451,4451.0,2021-08-24 10:26:54.908164+00:00,x,y,2021-08-27 17:00:00+00:00,2021-08-27 18:59:00+00:00,gamma,True,20,1,c-6,4451,9900
1396,1396.0,2021-07-08 20:21:38.484069+00:00,x,y,2021-07-17 16:00:00+00:00,2021-07-17 18:00:00+00:00,alpha,True,15,1,a-23,1396,9900
2649,2649.0,2021-06-23 18:56:41.946346+00:00,x,y,2021-07-06 14:00:00+00:00,2021-07-06 16:00:00+00:00,gamma,True,20,1,c-4,2649,11742
4545,4545.0,2021-08-06 08:50:46.783229+00:00,x,y,2021-08-13 13:15:00+00:00,2021-08-13 15:15:00+00:00,alpha,True,20,1,a-9,4545,8697
1027,1027.0,2021-05-19 20:15:52.078985+00:00,x,y,2021-07-01 11:00:00+00:00,2021-07-01 12:55:00+00:00,beta,True,20,0,b-69,1027,13097
4984,4984.0,2021-05-20 04:46:11.952926+00:00,x,y,2021-05-27 05:00:00+00:00,2021-05-27 07:00:00+00:00,gamma,True,20,2,c-2,4984,8697
2943,2943.0,2021-07-16 08:57:07.518668+00:00,x,y,2021-08-08 16:00:00+00:00,2021-08-08 18:00:00+00:00,alpha,True,35,1,a-23,2943,8739
1831,1831.0,2021-08-08 07:58:08.524137+00:00,x,y,2021-08-13 16:00:00+00:00,2021-08-13 18:00:00+00:00,alpha,True,15,1,a-23,1831,8650
4916,4916.0,2021-07-09 04:56:06.778565+00:00,x,y,2021-07-25 04:00:00+00:00,2021-07-25 06:00:00+00:00,alpha,True,15,1,a-1,4916,8739
4869,4869.0,2021-07-23 20:43:47.116808+00:00,x,y,2021-08-01 04:00:00+00:00,2021-08-01 06:00:00+00:00,alpha,True,35,1,a-1,4869,10227
2830,2830.0,2021-07-06 17:17:56.387925+00:00,x,y,2021-07-09 16:00:00+00:00,2021-07-09 18:00:00+00:00,alpha,True,15,1,a-23,2830,10227
806,806.0,2021-04-22 21:35:43.202359+00:00,x,y,2021-05-01 05:00:00+00:00,2021-05-01 07:00:00+00:00,gamma,True,20,1,c-2,806,11915
2799,2799.0,2021-07-01 18:47:58.618156+00:00,x,y,2021-07-04 04:00:00+00:00,2021-07-04 06:00:00+00:00,alpha,True,35,1,a-1,2799,8739
4431,4431.0,2021-07-30 09:05:04.630537+00:00,x,y,2021-08-09 17:00:00+00:00,2021-08-09 18:59:00+00:00,gamma,True,20,1,c-6,4431,8697
4038,4038.0,2021-02-12 07:52:34.938456+00:00,x,y,2021-03-31 05:00:00+00:00,2021-03-31 07:00:00+00:00,gamma,True,0,0,c-2,4038,8697
2024,2024.0,2021-01-05 18:06:36.542154+00:00,x,y,2021-01-09 05:00:00+00:00,2021-01-09 07:00:00+00:00,gamma,True,0,0,c-2,2024,10227
